{
{ This is a test file for REMIP
{
{  It contains some dummy IP measurements - do not use for real data
{
{  Created on 19990115 by Tim Jenness
{
{  OK, now the data are real for the LW array (NB at 850 microns)
{  and for G12 (since re-mounting, 11/98 onwards)
{  - JSG, 19990120
{
{  File contains data the following data:
{
{   BolName   - Name of bolometer (eg H7,G12..)
A1  1.00  0.0  0.0  0.0   180  0  0   0
A2  1.00  0.0  0.0  0.0   180  0  0   0
A3  1.00  0.0  0.0  0.0   180  0  0   0
A4  1.00  0.0  0.0  0.0   180  0  0   0
A5  1.00  0.0  0.0  0.0   180  0  0   0
A6  1.00  0.0  0.0  0.0   180  0  0   0
A7  1.00  0.0  0.0  0.0   180  0  0   0
A8  1.00  0.0  0.0  0.0   180  0  0   0
A9  1.00  0.0  0.0  0.0   180  0  0   0
A10 1.00  0.0  0.0  0.0   180  0  0   0
A11 1.00  0.0  0.0  0.0   180  0  0   0
A12 1.00  0.0  0.0  0.0   180  0  0   0
A13 1.00  0.0  0.0  0.0   180  0  0   0
A14 1.00  0.0  0.0  0.0   180  0  0   0
A15 1.00  0.0  0.0  0.0   180  0  0   0
A16 1.00  0.0  0.0  0.0   180  0  0   0
B1  1.00  0.0  0.0  0.0   180  0  0   0
B2  1.00  0.0  0.0  0.0   180  0  0   0
B3  1.00  0.0  0.0  0.0   180  0  0   0
B4  1.00  0.0  0.0  0.0   180  0  0   0
B5  1.00  0.0  0.0  0.0   180  0  0   0
B6  1.00  0.0  0.0  0.0   180  0  0   0
B7  1.00  0.0  0.0  0.0   180  0  0   0
B8  1.00  0.0  0.0  0.0   180  0  0   0
B9  1.00  0.0  0.0  0.0   180  0  0   0
B10 1.00  0.0  0.0  0.0   180  0  0   0
B11 1.00  0.0  0.0  0.0   180  0  0   0
B12 1.00  0.0  0.0  0.0   180  0  0   0
B13 1.00  0.0  0.0  0.0   180  0  0   0
B14 1.00  0.0  0.0  0.0   180  0  0   0
B15 1.00  0.0  0.0  0.0   180  0  0   0
B16 1.00  0.0  0.0  0.0   180  0  0   0
C1  1.00  0.0  0.0  0.0   180  0  0   0
C2  1.00  0.0  0.0  0.0   180  0  0   0
C3  1.00  0.0  0.0  0.0   180  0  0   0
C4  1.00  0.0  0.0  0.0   180  0  0   0
C5  1.00  0.0  0.0  0.0   180  0  0   0
C6  1.00  0.0  0.0  0.0   180  0  0   0
C7  1.00  0.0  0.0  0.0   180  0  0   0
C8  1.00  0.0  0.0  0.0   180  0  0   0
C9  1.00  0.0  0.0  0.0   180  0  0   0
C10 1.00  0.0  0.0  0.0   180  0  0   0
C11 1.00  0.0  0.0  0.0   180  0  0   0
C12 1.00  0.0  0.0  0.0   180  0  0   0
C13 1.00  0.0  0.0  0.0   180  0  0   0
C14 1.00  0.0  0.0  0.0   180  0  0   0
C15 1.00  0.0  0.0  0.0   180  0  0   0
C16 1.00  0.0  0.0  0.0   180  0  0   0
D1  1.00  0.0  0.0  0.0   180  0  0   0
D2  1.00  0.0  0.0  0.0   180  0  0   0
D3  1.00  0.0  0.0  0.0   180  0  0   0
D4  1.00  0.0  0.0  0.0   180  0  0   0
D5  1.00  0.0  0.0  0.0   180  0  0   0
D6  1.00  0.0  0.0  0.0   180  0  0   0
D7  1.00  0.0  0.0  0.0   180  0  0   0
D8  1.00  0.0  0.0  0.0   180  0  0   0
D9  1.00  0.0  0.0  0.0   180  0  0   0
D10 1.00  0.0  0.0  0.0   180  0  0   0
D11 1.00  0.0  0.0  0.0   180  0  0   0
D12 1.00  0.0  0.0  0.0   180  0  0   0
D13 1.00  0.0  0.0  0.0   180  0  0   0
D14 1.00  0.0  0.0  0.0   180  0  0   0
D15 1.00  0.0  0.0  0.0   180  0  0   0
D16 1.00  0.0  0.0  0.0   180  0  0   0
E1  1.00  0.0  0.0  0.0   180  0  0   0
E2  1.00  0.0  0.0  0.0   180  0  0   0
E3  1.00  0.0  0.0  0.0   180  0  0   0
E4  1.00  0.0  0.0  0.0   180  0  0   0
E5  1.00  0.0  0.0  0.0   180  0  0   0
E6  1.00  0.0  0.0  0.0   180  0  0   0
E7  1.00  0.0  0.0  0.0   180  0  0   0
E8  1.00  0.0  0.0  0.0   180  0  0   0
E9  1.00  0.0  0.0  0.0   180  0  0   0
E10 1.00  0.0  0.0  0.0   180  0  0   0
E11 1.00  0.0  0.0  0.0   180  0  0   0
E12 1.00  0.0  0.0  0.0   180  0  0   0
E13 1.00  0.0  0.0  0.0   180  0  0   0
E14 1.00  0.0  0.0  0.0   180  0  0   0
E15 1.00  0.0  0.0  0.0   180  0  0   0
E16 1.00  0.0  0.0  0.0   180  0  0   0
F1  1.00  0.0  0.0  0.0   180  0  0   0
F2  1.00  0.0  0.0  0.0   180  0  0   0
F3  1.00  0.0  0.0  0.0   180  0  0   0
F4  1.00  0.0  0.0  0.0   180  0  0   0
F5  1.00  0.0  0.0  0.0   180  0  0   0
F6  1.00  0.0  0.0  0.0   180  0  0   0
F7  1.00  0.0  0.0  0.0   180  0  0   0
F8  1.00  0.0  0.0  0.0   180  0  0   0
F9  1.00  0.0  0.0  0.0   180  0  0   0
F10 1.00  0.0  0.0  0.0   180  0  0   0
F11 1.00  0.0  0.0  0.0   180  0  0   0

{ P1100 bolometer  
I10 1.00  0.0  0.0  0.0   180  0  0   0

{ P1350 bolometer                      
G12 1.68  0.06 0.0  0.0   166  1  0   0

{ P2000 bolometer                      
G6  1.00  0.0  0.0  0.0   180  0  0   0

