{
{ This is a test file for REMIP
{
{  It contains some dummy IP measurements - do not use for real data
{
{  Created on 19990115 by Tim Jenness
{
{  OK, now the data are real for the LW array (NB at 850 microns)
{  and for G12 (since re-mounting, 11/98 onwards)
{  - JSG, 19990120
{  Added some modified 850 data
{  - JSG, 19990423
{  Added 450 micron values (only 8 are individual real measurements)
{  - JSG, 19990625
{
{  File contains data the following data:
{
{   BolName   - Name of bolometer (eg H7,G12..)
I8  0.97  0.29 0.0  0.0   163  8  1   0
I9  0.62  0.34 0.0  0.0   163  14 1   0

{ short-wave array                     
A1  3.25  0.25  0.0  0.0   100  2  1   0
A2  3.25  0.25  0.0  0.0   100  2  1   0
A3  3.25  0.25  0.0  0.0   100  2  1   0
A4  3.25  0.25  0.0  0.0   100  2  1   0
A5  3.25  0.25  0.0  0.0   100  2  1   0
A6  3.25  0.25  0.0  0.0   100  2  1   0
A7  3.25  0.25  0.0  0.0   100  2  1   0
A8  3.25  0.25  0.0  0.0   100  2  1   0
A9  3.25  0.25  0.0  0.0   100  2  1   0
A10 3.25  0.25  0.0  0.0   100  2  1   0
A11 3.25  0.25  0.0  0.0   100  2  1   0
A12 3.25  0.25  0.0  0.0   100  2  1   0
A13 3.25  0.25  0.0  0.0   100  2  1   0
A14 3.25  0.25  0.0  0.0   100  2  1   0
A15 3.25  0.25  0.0  0.0   100  2  1   0
A16 3.25  0.25  0.0  0.0   100  2  1   0
B1  3.25  0.25  0.0  0.0   100  2  1   0
B2  3.25  0.25  0.0  0.0   100  2  1   0
B3  3.25  0.25  0.0  0.0   100  2  1   0
B4  3.25  0.25  0.0  0.0   100  2  1   0
B5  3.25  0.25  0.0  0.0   100  2  1   0
B6  3.25  0.25  0.0  0.0   100  2  1   0
B7  3.25  0.25  0.0  0.0   100  2  1   0
B8  3.25  0.25  0.0  0.0   100  2  1   0
B9  2.79  0.53  0.0  0.0    98  5  1   0
B10 3.25  0.25  0.0  0.0   100  2  1   0
B11 2.25  0.61  0.0  0.0   105  8  1   0
B12 3.25  0.25  0.0  0.0   100  2  1   0
B13 3.25  0.25  0.0  0.0   100  2  1   0
B14 3.25  0.25  0.0  0.0   100  2  1   0
B15 3.25  0.25  0.0  0.0   100  2  1   0
B16 3.25  0.25  0.0  0.0   100  2  1   0
C1  3.25  0.25  0.0  0.0   100  2  1   0
C2  3.25  0.25  0.0  0.0   100  2  1   0
C3  3.25  0.25  0.0  0.0   100  2  1   0
C4  3.25  0.25  0.0  0.0   100  2  1   0
C5  3.25  0.25  0.0  0.0   100  2  1   0
C6  3.25  0.25  0.0  0.0   100  2  1   0
C7  3.25  0.25  0.0  0.0   100  2  1   0
C8  3.25  0.25  0.0  0.0   100  2  1   0
C9  3.25  0.25  0.0  0.0   100  2  1   0
C10 3.25  0.25  0.0  0.0   100  2  1   0
C11 3.25  0.25  0.0  0.0   100  2  1   0
C12 4.46  0.62  0.0  0.0   109  4  1   0
C13 3.25  0.25  0.0  0.0   100  2  1   0
C14 2.77  0.09  0.0  0.0   103  1  1   0
C15 3.25  0.25  0.0  0.0   100  2  1   0
C16 4.02  0.58  0.0  0.0    96  4  1   0
D1  3.25  0.25  0.0  0.0   100  2  1   0
D2  3.25  0.25  0.0  0.0   100  2  1   0
D3  3.25  0.25  0.0  0.0   100  2  1   0
D4  3.25  0.25  0.0  0.0   100  2  1   0
D5  3.25  0.25  0.0  0.0   100  2  1   0
D6  3.25  0.25  0.0  0.0   100  2  1   0
D7  3.25  0.25  0.0  0.0   100  2  1   0
D8  3.25  0.25  0.0  0.0   100  2  1   0
D9  3.25  0.25  0.0  0.0   100  2  1   0
D10 3.25  0.25  0.0  0.0   100  2  1   0
D11 3.25  0.25  0.0  0.0   100  2  1   0
D12 3.25  0.25  0.0  0.0   100  2  1   0
D13 3.25  0.25  0.0  0.0   100  2  1   0
D14 3.25  0.25  0.0  0.0   100  2  1   0
D15 3.25  0.25  0.0  0.0   100  2  1   0
D16 3.25  0.25  0.0  0.0   100  2  1   0
E1  3.50  0.34  0.0  0.0   100  3  1   0
E2  3.25  0.25  0.0  0.0   100  2  1   0
E3  3.92  0.59  0.0  0.0    97  4  1   0
E4  3.25  0.25  0.0  0.0   100  2  1   0
E5  3.20  0.40  0.0  0.0   107  4  1   0
E6  3.25  0.25  0.0  0.0   100  2  1   0
E7  3.25  0.25  0.0  0.0   100  2  1   0
E8  3.25  0.25  0.0  0.0   100  2  1   0
E9  3.25  0.25  0.0  0.0   100  2  1   0
E10 3.25  0.25  0.0  0.0   100  2  1   0
E11 3.25  0.25  0.0  0.0   100  2  1   0
E12 3.25  0.25  0.0  0.0   100  2  1   0
E13 3.25  0.25  0.0  0.0   100  2  1   0
E14 3.25  0.25  0.0  0.0   100  2  1   0
E15 3.25  0.25  0.0  0.0   100  2  1   0
E16 3.25  0.25  0.0  0.0   100  2  1   0
F1  3.25  0.25  0.0  0.0   100  2  1   0
F2  3.25  0.25  0.0  0.0   100  2  1   0
F3  3.25  0.25  0.0  0.0   100  2  1   0
F4  3.25  0.25  0.0  0.0   100  2  1   0
F5  3.25  0.25  0.0  0.0   100  2  1   0
F6  3.25  0.25  0.0  0.0   100  2  1   0
F7  3.25  0.25  0.0  0.0   100  2  1   0
F8  3.25  0.25  0.0  0.0   100  2  1   0
F9  3.25  0.25  0.0  0.0   100  2  1   0
F10 3.25  0.25  0.0  0.0   100  2  1   0
F11 3.25  0.25  0.0  0.0   100  2  1   0

{ P1100 bolometer  
I10 1.00  0.0  0.0  0.0   180  0  1   0

{ P1350 bolometer                      
G12 1.68  0.06 0.0  0.0   166  1  1   0

{ P2000 bolometer                      
G6  1.00  0.0  0.0  0.0   180  0  1   0

