# INDEX        X         Y  INTENSITY  ELLIPT
   200   70.2858   49.6026       4911  0.0
   201  216.7662  107.5722       9128  0.0
   202  283.7070   82.9971       4949  0.0
   203  180.3108  124.2741       7174  0.0
   204  286.2177   14.2248       8828  0.0
   205  201.4251   20.6748       8373  0.0
   206  189.7938  213.2445       5229  0.0
   207  143.3838  133.6242       7528  0.0
   208   23.8926  236.9817       4805  0.0
   209  124.0131   32.0790       8671  0.0
   210  257.7321    7.9077       8554  0.0
   211  129.0963  240.9477       5618  0.0
   212  123.0864  113.7459       7331  0.0
   213   74.2356   80.8479       4752  0.0
   214  100.2261  170.7078       5874  0.0
   215  241.2123   47.8683       7729  0.0
   216  101.8254  147.1251       6140  0.0
   217   75.0162   59.4939       8141  0.0
   218  290.6031   17.9712       7320  0.0
   219  141.2676  268.9824       5085  0.0
   220  262.2027   65.2104       4061  0.0
   221  287.9766  280.6620       7725  0.0
   222  174.8079  294.6546       5290  0.0
   223  263.9025   34.5321       5986  0.0
   224   65.3475  194.1582      11010  0.0
   225   75.9990  118.4136       8697  0.0
   226   90.6702  109.1628       9948  0.0
   227  137.4435  289.8765       5077  0.0
   228   48.2511  109.1418       5805  0.0
   229  108.6444  279.6540       4553  0.0
   230  182.1816  161.1972       6794  0.0
   231   69.2034   12.0825       6206  0.0
   232  199.8471  119.0991       4154  0.0
   233  267.5823  110.5287       4393  0.0
   234   60.4764  212.7510       5207  0.0
   235  290.7402  265.9164      10105  0.0
   236  139.0770  216.3144       6397  0.0
   237  153.5718   84.5517       5114  0.0
   238  130.4739  212.7936       8118  0.0
   239  248.9721  107.4123       4027  0.0
   240  261.5826   43.1643       5145  0.0
   241  138.2943  235.3053       6946  0.0
   242  273.8607  259.4247       4451  0.0
   243   33.4404  117.4626       5977  0.0
   244  218.6928  191.5437       9053  0.0
   245   80.9892  298.1169       5124  0.0
   246   70.5729  198.8613       9560  0.0
   247   76.8723  226.2954       4371  0.0
   248  144.9117   14.0244       5498  0.0
   249  282.5706  183.2883       4773  0.0
   250  218.1063   44.2938       6309  0.0
   251   69.3267   81.7953       4838  0.0
   252  198.6258   64.4034       8719  0.0
   253  112.6548  140.3748       9534  0.0
   254  285.1368   84.5289       9690  0.0
   255   67.8066   37.6650       9069  0.0
   256  290.5056   81.8715      11105  0.0
   257   63.8151  165.8265       4182  0.0
   258  208.6941   97.9014       4153  0.0
   259  108.3507  145.9848       9292  0.0
   260  249.7536  108.8565       5487  0.0
   261  280.7964  259.8039       5534  0.0
   262  111.9276   18.1341       9306  0.0
   263  137.5161  184.2765      10277  0.0
   264  217.5609  161.7345       5583  0.0
   265  133.6188  157.3137       4944  0.0
   266   90.3792   69.4218       5801  0.0
   267  295.5534    7.2282       4491  0.0
   268  282.4596   97.8798       5556  0.0
   269   54.0336  154.8972       4439  0.0
   270  162.4947  140.9523      10969  0.0
   271   35.1405  215.4309       5013  0.0
   272  244.7151  224.8680       7911  0.0
   273   25.4487  218.6028       9916  0.0
   274  196.1010  241.5399       4167  0.0
   275  144.5184   51.1374       6206  0.0
   276   35.9982   22.3815       4365  0.0
   277  237.0012   85.9086       4068  0.0
   278  180.8184  251.0109       6024  0.0
   279   72.3882  231.1305       4595  0.0
   280  240.7866  259.0200       4881  0.0
   281   60.5550  282.7728       7515  0.0
   282  126.6435  128.5332       5156  0.0
   283  172.5108  145.2132       6554  0.0
   284  242.9058  104.6646       4473  0.0
   285   10.8111  114.4233       6521  0.0
   286   82.9200  192.2754       8152  0.0
   287   90.5130  170.4843       7216  0.0
   288   30.1065  222.9270       8266  0.0
   289  131.9865   91.2891       6571  0.0
   290  279.2862  177.1788       4718  0.0
   291  204.6666  138.7557       4803  0.0
   292  120.0864  211.3824       4300  0.0
   293  269.6922  119.3004       6091  0.0
   294   58.4388   18.5478       4205  0.0
   295  286.8963   51.9153       6600  0.0
   296  194.6028  197.2194       4045  0.0
   297  143.0124  111.7947       6128  0.0
   298  193.5201  129.3237       4680  0.0
   299  165.6525    4.2975      10096  0.0
